zc,zf,zp_c,rc,ruc,ruwc,sc,umc,vmc,wmc,umf,vmf,wmf,muc,kthc,muf,kthf,rf,dzc,dzf,tau13c,tau13f
3.88578e-15,,3.88578e-12,1.0,,-1.43465e-11,0.995,-1.84719e-11,,,,,,1.0,1.0,,,,,2.3529600019428898e-06,-1002.68,
4.70592e-06,,0.00470592,1.0,,1.14393e-10,0.99500011,0.00471925,,,,,,1.0,1.0,,,,,9.412099998057109e-06,-1002.68,
1.88242e-05,,0.0188242,1.0,,7.23556e-09,0.99500044,0.0188755,,,,,,1.0,1.0,,,,,1.882434e-05,-1002.67,
4.2354599999999996e-05,,0.0423546,1.0,,8.26238e-08,0.995000985,0.0424716,,,,,,1.0,1.0,,,,,2.823645e-05,-1002.64,
7.52971e-05,,0.0752971,1.0,,4.66158e-07,0.99500175,0.0755031,,,,,,1.0,1.0,,,,,3.764820000000001e-05,-1002.61,
0.000117651,,0.117651,1.0,,1.78726e-06,0.995002735,0.117964,,,,,,1.0,1.0,,,,,4.705994999999999e-05,-1002.57,
0.00016941700000000002,,0.169417,1.0,,5.36891e-06,0.99500394,0.169858,,,,,,1.0,1.0,,,,,5.6470999999999995e-05,-1002.51,
0.000230593,,0.230593,1.0,,1.36321e-05,0.99500536,0.231212,,,,,,1.0,1.0,,,,,6.588099999999997e-05,-1002.44,
0.000301179,,0.301179,1.0,,3.06125e-05,0.9950070049999999,0.301957,,,,,,1.0,1.0,,,,,7.5291e-05,-1002.36,
0.000381175,,0.381175,1.0,,6.25857e-05,0.99500886,0.382159,,,,,,1.0,1.0,,,,,8.470050000000007e-05,-1002.25,
0.00047058,,0.47058,1.0,,0.000118828,0.99501094,0.471765,,,,,,1.0,1.0,,,,,9.4109e-05,-1002.11,
0.0005693930000000001,,0.569393,1.0,,0.000212486,0.9950132349999999,0.570789,,,,,,1.0,1.0,,,,,0.00010351600000000006,-1001.91,
0.000677612,,0.677612,1.0,,0.000361585,0.995015755,0.679207,,,,,,1.0,1.0,,,,,0.00011292249999999993,-1001.65,
0.000795238,,0.795238,1.0,,0.000590113,0.99501849,0.797,,,,,,1.0,1.0,,,,,0.00012232849999999995,-1001.25,
0.000922269,,0.922269,1.0,,0.000929148,0.99502145,0.924185,,,,,,1.0,1.0,,,,,0.00013173100000000006,-1001.02,
0.0010586999999999999,,1.0587,1.0,,0.00141811,0.995024625,1.06062,,,,,,1.0,1.0,,,,,0.00014113549999999987,-1000.36,
0.00120454,,1.20454,1.0,,0.00210564,0.99502803,1.20643,,,,,,1.0,1.0,,,,,0.00015054000000000011,-999.515,
0.0013597799999999999,,1.35978,1.0,,0.00305085,0.995031665,1.36152,,,,,,1.0,1.0,,,,,0.00015993500000000016,-998.37,
