zc,zf,zp_c,rc,ruc,ruwc,sc,umc,vmc,wmc,umf,vmf,wmf,muc,kthc,muf,kthf,rf,dzc,dzf,tau13c,tau13f
3.88578e-15,,3.88578e-12,1.0,,-2.1949e-12,0.995,1.1402e-11,,,,,,1.0,1.0,,,,,2.3529600019428898e-06,-997.876,
4.70592e-06,,0.00470592,1.0,,1.12447e-10,0.99500016,0.00469617,,,,,,1.0,1.0,,,,,9.412099998057109e-06,-997.872,
1.88242e-05,,0.0188242,1.0,,7.1923e-09,0.99500064,0.018783,,,,,,1.0,1.0,,,,,1.882434e-05,-997.861,
4.2354599999999996e-05,,0.0423546,1.0,,8.21412e-08,0.99500144,0.0422633,,,,,,1.0,1.0,,,,,2.823645e-05,-997.84,
7.52971e-05,,0.0752971,1.0,,4.63267e-07,0.995002565,0.0751327,,,,,,1.0,1.0,,,,,3.764820000000001e-05,-997.808,
0.000117651,,0.117651,1.0,,1.77562e-06,0.995004,0.117405,,,,,,1.0,1.0,,,,,4.705994999999999e-05,-997.766,
0.00016941700000000002,,0.169417,1.0,,5.33207e-06,0.99500576,0.169044,,,,,,1.0,1.0,,,,,5.6470999999999995e-05,-997.717,
0.000230593,,0.230593,1.0,,1.35331e-05,0.995007845,0.230065,,,,,,1.0,1.0,,,,,6.588099999999997e-05,-997.651,
0.000301179,,0.301179,1.0,,3.0375e-05,0.995010245,0.300511,,,,,,1.0,1.0,,,,,7.5291e-05,-997.567,
0.000381175,,0.381175,1.0,,6.20721e-05,0.995012965,0.380296,,,,,,1.0,1.0,,,,,8.470050000000007e-05,-997.462,
0.00047058,,0.47058,1.0,,0.000117793,0.995016005,0.469456,,,,,,1.0,1.0,,,,,9.4109e-05,-997.32,
0.0005693930000000001,,0.569393,1.0,,0.000210531,0.99501936,0.567991,,,,,,1.0,1.0,,,,,0.00010351600000000006,-997.103,
0.000677612,,0.677612,1.0,,0.00035807,0.995023035,0.675875,,,,,,1.0,1.0,,,,,0.00011292249999999993,-996.835,
0.000795238,,0.795238,1.0,,0.000584058,0.99502703,0.793109,,,,,,1.0,1.0,,,,,0.00012232849999999995,-996.485,
0.000922269,,0.922269,1.0,,0.000919161,0.995031345,0.919645,,,,,,1.0,1.0,,,,,0.00013173100000000006,-996.014,
0.0010586999999999999,,1.0587,1.0,,0.00140221,0.995036005,1.05578,,,,,,1.0,1.0,,,,,0.00014113549999999987,-995.398,
0.00120454,,1.20454,1.0,,0.00208101,0.995040975,1.20077,,,,,,1.0,1.0,,,,,0.00015054000000000011,-994.575,
0.0013597799999999999,,1.35978,1.0,,0.00301387,0.995046255,1.35509,,,,,,1.0,1.0,,,,,0.00015993500000000016,-993.49,
0.0015244100000000001,,1.52441,1.0,,0.00426953,0.995051865,1.51835,,,,,,1.0,1.0,,,,,0.0001693349999999998,-992.068,
0.00169845,,1.69845,1.0,,0.005928,0.995057765,1.69092,,,,,,1.0,1.0,,,,,0.0001787350000000001,-990.235,
0.00188188,,1.88188,1.0,,0.00807973,0.99506398,1.87222,,,,,,1.0,1.0,,,,,0.00018813000000000014,-987.904,
0.00207471,,2.07471,1.0,,0.0108262,0.995070495,2.06237,,,,,,1.0,1.0,,,,,0.00019752499999999975,-984.968,
0.00227693,,2.27693,1.0,,0.0142734,0.99507732,2.26121,,,,,,1.0,1.0,,,,,0.0002069150000000004,-981.312,
0.00248854,,2.48854,1.0,,0.0185359,0.995084435,2.46845,,,,,,1.0,1.0,,,,,0.00021630499999999975,-976.834,
0.00270954,,2.70954,1.0,,0.0237308,0.99509183,2.68373,,,,,,1.0,1.0,,,,,0.00022568999999999972,-971.42,
0.00293992,,2.93992,1.0,,0.0299738,0.99509944,2.9069,,,,,,1.0,1.0,,,,,0.00023507500000000014,-964.962,
0.0031796899999999998,,3.17969,1.0,,0.0373727,0.99510736,3.13769,,,,,,1.0,1.0,,,,,0.0002444649999999999,-957.312,
0.00342885,,3.42885,1.0,,0.0460285,0.995115555,3.37491,,,,,,1.0,1.0,,,,,0.0002538450000000001,-948.412,
0.00368738,,3.68738,1.0,,0.0560259,0.995124015,3.61871,,,,,,1.0,1.0,,,,,0.0002632200000000005,-938.162,
0.00395529,,3.95529,1.0,,0.0674299,0.995132735,3.86869,,,,,,1.0,1.0,,,,,0.00027259999999999974,-926.495,
0.00423258,,4.23258,1.0,,0.0802893,0.99514166,4.12369,,,,,,1.0,1.0,,,,,0.0002819749999999992,-913.351,
0.00451924,,4.51924,1.0,,0.0946229,0.995150765,4.38337,,,,,,1.0,1.0,,,,,0.00029134500000000063,-898.745,
0.00481527,,4.81527,1.0,,0.110425,0.995160045,4.64715,,,,,,1.0,1.0,,,,,0.0003007099999999996,-882.636,
0.00512066,,5.12066,1.0,,0.127658,0.995169505,4.91399,,,,,,1.0,1.0,,,,,0.0003100750000000003,-865.101,
0.00543542,,5.43542,1.0,,0.146293,0.995179105,5.18329,,,,,,1.0,1.0,,,,,0.00031944000000000015,-846.176,
0.0057595400000000005,,5.75954,1.0,,0.166183,0.99518883,5.4543,,,,,,1.0,1.0,,,,,0.0003288000000000002,-825.962,
0.00609302,,6.09302,1.0,,0.187283,0.9951986349999999,5.72627,,,,,,1.0,1.0,,,,,0.0003381550000000004,-804.526,
0.00643585,,6.43585,1.0,,0.20945,0.995208525,5.99834,,,,,,1.0,1.0,,,,,0.00034750999999999977,-782.025,
0.0067880399999999995,,6.78804,1.0,,0.23253,0.995218455,6.26955,,,,,,1.0,1.0,,,,,0.0003568649999999991,-758.596,
0.00714958,,7.14958,1.0,,0.256379,0.99522838,6.53933,,,,,,1.0,1.0,,,,,0.0003662100000000006,-734.392,
0.00752046,,7.52046,1.0,,0.280837,0.995238295,6.80707,,,,,,1.0,1.0,,,,,0.0003755500000000005,-709.567,
0.00790068,,7.90068,1.0,,0.305719,0.995248175,7.07219,,,,,,1.0,1.0,,,,,0.0003848900000000004,-684.306,
0.00829024,,8.29024,1.0,,0.330882,0.995258005,7.3338,,,,,,1.0,1.0,,,,,0.0003942250000000005,-658.757,
0.00868913,,8.68913,1.0,,0.356159,0.99526776,7.59136,,,,,,1.0,1.0,,,,,0.000403554999999999,-633.087,
0.00909735,,9.09735,1.0,,0.381404,0.9952774,7.8446,,,,,,1.0,1.0,,,,,0.00041288500000000107,-607.449,
0.009514900000000001,,9.5149,1.0,,0.40645,0.995286915,8.09291,,,,,,1.0,1.0,,,,,0.0004222149999999978,-581.995,
0.009941779999999999,,9.94178,1.0,,0.431188,0.995296285,8.33589,,,,,,1.0,1.0,,,,,0.00043155000000000146,-556.853,
0.010378,,10.378,1.0,,0.455483,0.995305515,8.57329,,,,,,1.0,1.0,,,,,0.0004408599999999989,-532.118,
0.0108235,,10.8235,1.0,,0.479241,0.99531461,8.80499,,,,,,1.0,1.0,,,,,0.00045014999999999893,-507.915,
0.0112783,,11.2783,1.0,,0.502367,0.99532354,9.03055,,,,,,1.0,1.0,,,,,0.00045945000000000035,-484.338,
0.0117424,,11.7424,1.0,,0.524793,0.99533233,9.25,,,,,,1.0,1.0,,,,,0.00046875,-461.447,
0.0122158,,12.2158,1.0,,0.546453,0.99534092,9.46317,,,,,,1.0,1.0,,,,,0.0004781000000000013,-439.316,
0.0126986,,12.6986,1.0,,0.567324,0.99534932,9.66997,,,,,,1.0,1.0,,,,,0.00048740000000000095,-417.982,
0.0131906,,13.1906,1.0,,0.587353,0.995357515,9.87049,,,,,,1.0,1.0,,,,,0.000496649999999999,-397.474,
0.0136919,,13.6919,1.0,,0.606515,0.995365525,10.0628,,,,,,1.0,1.0,,,,,0.0005059500000000003,-377.814,
0.0142025,,14.2025,1.0,,0.624798,0.995373325,10.251,,,,,,1.0,1.0,,,,,0.0005152000000000002,-359.022,
0.0147223,,14.7223,1.0,,0.642224,0.99538092,10.433,,,,,,1.0,1.0,,,,,0.0005244999999999998,-341.088,
0.0152515,,15.2515,1.0,,0.658783,0.9953883099999999,10.6092,,,,,,1.0,1.0,,,,,0.0005337999999999994,-324.012,
0.0157899,,15.7899,1.0,,0.674499,0.99539551,10.7795,,,,,,1.0,1.0,,,,,0.0005430499999999991,-307.783,
0.016337599999999997,,16.3376,1.0,,0.689369,0.99540251,10.9437,,,,,,1.0,1.0,,,,,0.0005523000000000024,-292.363,
0.0168945,,16.8945,1.0,,0.703429,0.995409305,11.1023,,,,,,1.0,1.0,,,,,0.0005615499999999969,-277.749,
0.0174607,,17.4607,1.0,,0.716701,0.99541592,11.2558,,,,,,1.0,1.0,,,,,0.000570800000000002,-263.911,
0.018036100000000003,,18.0361,1.0,,0.729221,0.99542234,11.4043,,,,,,1.0,1.0,,,,,0.0005800499999999999,-250.822,
0.0186208,,18.6208,1.0,,0.741007,0.995428565,11.5474,,,,,,1.0,1.0,,,,,0.0005892999999999979,-238.454,
