zc,zf,zp_c,rc,ruc,ruwc,sc,umc,vmc,wmc,umf,vmf,wmf,muc,kthc,muf,kthf,rf,dzc,dzf,tau13c,tau13f
3.88578e-15,,3.88578e-12,1.0,,-5.87412e-12,0.995,-8.45577e-12,,,,,,1.0,1.0,,,,,2.3529600019428898e-06,-999.695,
4.70592e-06,,0.00470592,1.0,,1.12848e-10,0.995000125,0.00470554,,,,,,1.0,1.0,,,,,9.412099998057109e-06,-999.693,
1.88242e-05,,0.0188242,1.0,,7.19428e-09,0.995000495,0.0188231,,,,,,1.0,1.0,,,,,1.882434e-05,-999.681,
4.2354599999999996e-05,,0.0423546,1.0,,8.21629e-08,0.995001115,0.042348,,,,,,1.0,1.0,,,,,2.823645e-05,-999.664,
7.52971e-05,,0.0752971,1.0,,4.63448e-07,0.99500198,0.075284,,,,,,1.0,1.0,,,,,3.764820000000001e-05,-999.648,
0.000117651,,0.117651,1.0,,1.77661e-06,0.995003095,0.117626,,,,,,1.0,1.0,,,,,4.705994999999999e-05,-999.622,
0.00016941700000000002,,0.169417,1.0,,5.33587e-06,0.995004455,0.16937,,,,,,1.0,1.0,,,,,5.6470999999999995e-05,-999.556,
0.000230593,,0.230593,1.0,,1.35461e-05,0.99500606,0.230534,,,,,,1.0,1.0,,,,,6.588099999999997e-05,-999.463,
0.000301179,,0.301179,1.0,,3.04106e-05,0.995007915,0.301088,,,,,,1.0,1.0,,,,,7.5291e-05,-999.417,
0.000381175,,0.381175,1.0,,6.21542e-05,0.995010025,0.381029,,,,,,1.0,1.0,,,,,8.470050000000007e-05,-999.355,
0.00047058,,0.47058,1.0,,0.000117974,0.9950124,0.470394,,,,,,1.0,1.0,,,,,9.4109e-05,-999.267,
0.0005693930000000001,,0.569393,1.0,,0.000210909,0.9950150249999999,0.569117,,,,,,1.0,1.0,,,,,0.00010351600000000006,-999.075,
0.000677612,,0.677612,1.0,,0.000358815,0.9950179,0.677224,,,,,,1.0,1.0,,,,,0.00011292249999999993,-998.82,
0.000795238,,0.795238,1.0,,0.000585424,0.995021015,0.794701,,,,,,1.0,1.0,,,,,0.00012232849999999995,-998.479,
0.000922269,,0.922269,1.0,,0.000921529,0.995024375,0.92149,,,,,,1.0,1.0,,,,,0.00013173100000000006,-998.014,
0.0010586999999999999,,1.0587,1.0,,0.00140623,0.99502796,1.0575,,,,,,1.0,1.0,,,,,0.00014113549999999987,-997.397,
0.00120454,,1.20454,1.0,,0.00208741,0.99503179,1.20301,,,,,,1.0,1.0,,,,,0.00015054000000000011,-996.571,
0.0013597799999999999,,1.35978,1.0,,0.00302392,0.995035875,1.35774,,,,,,1.0,1.0,,,,,0.00015993500000000016,-995.477,
0.0015244100000000001,,1.52441,1.0,,0.00428476,0.9950401799999999,1.5214,,,,,,1.0,1.0,,,,,0.0001693349999999998,-994.051,
0.00169845,,1.69845,1.0,,0.00595037,0.995044705,1.69418,,,,,,1.0,1.0,,,,,0.0001787350000000001,-992.214,
0.00188188,,1.88188,1.0,,0.00811194,0.995049465,1.87616,,,,,,1.0,1.0,,,,,0.00018813000000000014,-989.863,
0.00207471,,2.07471,1.0,,0.0108711,0.99505448,2.06679,,,,,,1.0,1.0,,,,,0.00019752499999999975,-986.911,
0.00227693,,2.27693,1.0,,0.0143338,0.995059735,2.26589,,,,,,1.0,1.0,,,,,0.0002069150000000004,-983.242,
0.00248854,,2.48854,1.0,,0.018619,0.99506523,2.47335,,,,,,1.0,1.0,,,,,0.00021630499999999975,-978.749,
0.00270954,,2.70954,1.0,,0.023839,0.99507094,2.68905,,,,,,1.0,1.0,,,,,0.00022568999999999972,-973.309,
0.00293992,,2.93992,1.0,,0.0301146,0.995076875,2.91256,,,,,,1.0,1.0,,,,,0.00023507500000000014,-966.799,
0.0031796899999999998,,3.17969,1.0,,0.0375511,0.995083015,3.14365,,,,,,1.0,1.0,,,,,0.0002444649999999999,-959.128,
0.00342885,,3.42885,1.0,,0.0462508,0.995089335,3.38173,,,,,,1.0,1.0,,,,,0.0002538450000000001,-950.183,
0.00368738,,3.68738,1.0,,0.0562977,0.995095855,3.62594,,,,,,1.0,1.0,,,,,0.0002632200000000005,-939.883,
0.00395529,,3.95529,1.0,,0.0677579,0.99510254,3.87603,,,,,,1.0,1.0,,,,,0.00027259999999999974,-928.154,
0.00423258,,4.23258,1.0,,0.0806764,0.9951094149999999,4.1316,,,,,,1.0,1.0,,,,,0.0002819749999999992,-914.956,
0.00451924,,4.51924,1.0,,0.0950729,0.99511644,4.39187,,,,,,1.0,1.0,,,,,0.00029134500000000063,-900.272,
0.00481527,,4.81527,1.0,,0.110943,0.99512357,4.65605,,,,,,1.0,1.0,,,,,0.0003007099999999996,-884.107,
0.00512066,,5.12066,1.0,,0.128256,0.99513084,4.92336,,,,,,1.0,1.0,,,,,0.0003100750000000003,-866.494,
0.00543542,,5.43542,1.0,,0.146934,0.995138195,5.19315,,,,,,1.0,1.0,,,,,0.00031944000000000015,-847.49,
0.0057595400000000005,,5.75954,1.0,,0.166917,0.995145625,5.46454,,,,,,1.0,1.0,,,,,0.0003288000000000002,-827.213,
0.00609302,,6.09302,1.0,,0.188059,0.995153135,5.73672,,,,,,1.0,1.0,,,,,0.0003381550000000004,-805.735,
0.00643585,,6.43585,1.0,,0.210282,0.99516071,6.00905,,,,,,1.0,1.0,,,,,0.00034750999999999977,-783.164,
0.0067880399999999995,,6.78804,1.0,,0.233419,0.99516832,6.28074,,,,,,1.0,1.0,,,,,0.0003568649999999991,-759.682,
0.00714958,,7.14958,1.0,,0.257305,0.995175945,6.55098,,,,,,1.0,1.0,,,,,0.0003662100000000006,-735.41,
0.00752046,,7.52046,1.0,,0.281776,0.995183575,6.81925,,,,,,1.0,1.0,,,,,0.0003755500000000005,-710.577,
0.00790068,,7.90068,1.0,,0.30668,0.99519119,7.08473,,,,,,1.0,1.0,,,,,0.0003848900000000004,-685.285,
0.00829024,,8.29024,1.0,,0.331856,0.995198765,7.34668,,,,,,1.0,1.0,,,,,0.0003942250000000005,-659.713,
