zc,zf,zp_c,rc,ruc,ruwc,sc,umc,vmc,wmc,umf,vmf,wmf,muc,kthc,muf,kthf,rf,dzc,dzf,tau13c,tau13f
3.88578e-15,,3.88578e-12,1.0,,-1.25971e-12,0.995,3.55307e-11,,,,,,1.0,1.0,,,,,2.3529600019428898e-06,-1003.14,
4.70592e-06,,0.00470592,1.0,,1.14019e-10,0.995000215,0.00472059,,,,,,1.0,1.0,,,,,9.412099998057109e-06,-1003.14,
1.88242e-05,,0.0188242,1.0,,7.29853e-09,0.995000865,0.0188793,,,,,,1.0,1.0,,,,,1.882434e-05,-1003.13,
4.2354599999999996e-05,,0.0423546,1.0,,8.33523e-08,0.995001935,0.0424832,,,,,,1.0,1.0,,,,,2.823645e-05,-1003.1,
7.52971e-05,,0.0752971,1.0,,4.70065e-07,0.995003445,0.0755253,,,,,,1.0,1.0,,,,,3.764820000000001e-05,-1003.07,
0.000117651,,0.117651,1.0,,1.80155e-06,0.99500538,0.118003,,,,,,1.0,1.0,,,,,4.705994999999999e-05,-1003.03,
0.00016941700000000002,,0.169417,1.0,,5.40983e-06,0.99500775,0.169894,,,,,,1.0,1.0,,,,,5.6470999999999995e-05,-1002.97,
0.000230593,,0.230593,1.0,,1.37304e-05,0.995010545,0.23126,,,,,,1.0,1.0,,,,,6.588099999999997e-05,-1002.9,
0.000301179,,0.301179,1.0,,3.08146e-05,0.995013775,0.302053,,,,,,1.0,1.0,,,,,7.5291e-05,-1002.82,
0.000381175,,0.381175,1.0,,6.29625e-05,0.99501744,0.382255,,,,,,1.0,1.0,,,,,8.470050000000007e-05,-1002.7,
0.00047058,,0.47058,1.0,,0.000119473,0.995021545,0.471899,,,,,,1.0,1.0,,,,,9.4109e-05,-1002.56,
0.0005693930000000001,,0.569393,1.0,,0.000213507,0.9950260949999999,0.570939,,,,,,1.0,1.0,,,,,0.00010351600000000006,-1002.36,
0.000677612,,0.677612,1.0,,0.000363107,0.99503107,0.679395,,,,,,1.0,1.0,,,,,0.00011292249999999993,-1002.1,
0.000795238,,0.795238,1.0,,0.000592229,0.99503648,0.797231,,,,,,1.0,1.0,,,,,0.00012232849999999995,-1001.76,
0.000922269,,0.922269,1.0,,0.000931914,0.99504232,0.924458,,,,,,1.0,1.0,,,,,0.00013173100000000006,-1001.31,
0.0010586999999999999,,1.0587,1.0,,0.00142147,0.99504855,1.06111,,,,,,1.0,1.0,,,,,0.00014113549999999987,-1000.7,
0.00120454,,1.20454,1.0,,0.00210944,0.995055205,1.20688,,,,,,1.0,1.0,,,,,0.00015054000000000011,-999.735,
0.0013597799999999999,,1.35978,1.0,,0.00305458,0.995062275,1.36197,,,,,,1.0,1.0,,,,,0.00015993500000000016,-998.683,
0.0015244100000000001,,1.52441,1.0,,0.00432683,0.99506977,1.52619,,,,,,1.0,1.0,,,,,0.0001693349999999998,-997.24,
0.00169845,,1.69845,1.0,,0.00600685,0.9950777,1.6994,,,,,,1.0,1.0,,,,,0.0001787350000000001,-995.356,
0.00188188,,1.88188,1.0,,0.0081861,0.995086065,1.88177,,,,,,1.0,1.0,,,,,0.00018813000000000014,-992.995,
0.00207471,,2.07471,1.0,,0.0109667,0.99509481,2.07309,,,,,,1.0,1.0,,,,,0.00019752499999999975,-990.008,
0.00227693,,2.27693,1.0,,0.0144564,0.99510396,2.27295,,,,,,1.0,1.0,,,,,0.0002069150000000004,-986.31,
0.00248854,,2.48854,1.0,,0.0187712,0.995113485,2.48138,,,,,,1.0,1.0,,,,,0.00021630499999999975,-981.79,
0.00270954,,2.70954,1.0,,0.0240296,0.99512341,2.69775,,,,,,1.0,1.0,,,,,0.00022568999999999972,-976.314,
0.00293992,,2.93992,1.0,,0.0303461,0.99513372,2.92187,,,,,,1.0,1.0,,,,,0.00023507500000000014,-969.769,
0.0031796899999999998,,3.17969,1.0,,0.0378308,0.995144395,3.15361,,,,,,1.0,1.0,,,,,0.0002444649999999999,-962.036,
0.00342885,,3.42885,1.0,,0.0465856,0.9951553949999999,3.39222,,,,,,1.0,1.0,,,,,0.0002538450000000001,-953.037,
0.00368738,,3.68738,1.0,,0.0566937,0.995166715,3.6373,,,,,,1.0,1.0,,,,,0.0002632200000000005,-942.668,
0.00395529,,3.95529,1.0,,0.0682239,0.99517831,3.88812,,,,,,1.0,1.0,,,,,0.00027259999999999974,-930.868,
0.00423258,,4.23258,1.0,,0.0812208,0.99519017,4.14438,,,,,,1.0,1.0,,,,,0.0002819749999999992,-917.609,
